"X1","ids_lookup","sunburst_wheel","ids","selector","labels","risk","titles","parents","values","node","element","link"
115,"Jk<sup>b</sup>_1",1,"Jk<sup>b</sup>","Kidd - mild","Jk<sup>b</sup><br>(mild, rare:severe)","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Jk<sup>b</sup>","Kidd - mild",0.595238095238095,"1, 2, 16","p","https://en.wikipedia.org/wiki/Kidd_antigen_system"
116,"Jk3_1",1,"Jk3","Kidd - mild","Jk3","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Jk3","Kidd - mild",0.595238095238095,"1, 2, 16","p","https://en.wikipedia.org/wiki/Kidd_antigen_system"
117,"Lan_1",1,"Lan","Langereis - mild","Lan","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Lan","Langereis - mild",1.78571428571429,"1","p","https://en.wikipedia.org/wiki/Lan_blood_group_system"
118,"Lu<sup>a</sup>_1",1,"Lu<sup>a</sup>","Lutheran - mild","Lu<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Lu<sup>a</sup>","Lutheran - mild",1.78571428571429,"1, 2, 3","p","https://en.wikipedia.org/wiki/Lutheran_antigen_system"
119,"M_1",1,"M","MNSs - mild","M<br>(mild,<br>rare:severe)","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","M","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
120,"N_1",1,"N","MNSs - mild","N","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","N","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
121,"Hil_1",1,"Hil","MNSs - mild","Hil","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Hil","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
122,"Or He_1",1,"Or He","MNSs - mild","Or He","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Or He","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
123,"Mi<sup>a</sup>_1",1,"Mi<sup>a</sup>","MNSs - mild","Mi<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Mi<sup>a</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
124,"M<sup>c</sup>_1",1,"M<sup>c</sup>","MNSs - mild","M<sup>c</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","M<sup>c</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
125,"M<sup>g</sup>_1",1,"M<sup>g</sup>","MNSs - mild","M<sup>g</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","M<sup>g</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
126,"V<sup>r</sup>_1",1,"V<sup>r</sup>","MNSs - mild","V<sup>r</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","V<sup>r</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
127,"M<sup>e</sup>_1",1,"M<sup>e</sup>","MNSs - mild","M<sup>e</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","M<sup>e</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
128,"St<sup>a</sup>_1",1,"St<sup>a</sup>","MNSs - mild","St<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","St<sup>a</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
129,"Ri<sup>a</sup>_1",1,"Ri<sup>a</sup>","MNSs - mild","Ri<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Ri<sup>a</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
130,"Cl<sup>a</sup>_1",1,"Cl<sup>a</sup>","MNSs - mild","Cl<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Cl<sup>a</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
131,"Ny<sup>a</sup>_1",1,"Ny<sup>a</sup>","MNSs - mild","Ny<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Ny<sup>a</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
132,"Hut_1",1,"Hut","MNSs - mild","Hut","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Hut","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
133,"Far_1",1,"Far","MNSs - mild","Far","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Far","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
134,"s<sup>d</sup>_1",1,"s<sup>d</sup>","MNSs - mild","s<sup>d</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","s<sup>d</sup>","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
135,"Mit_1",1,"Mit","MNSs - mild","Mit","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Mit","MNSs - mild",0.105042016806723,"1, 2, 7, 8","p","https://en.wikipedia.org/wiki/MNS_antigen_system"
136,"C_1",1,"C","Rhesus - mild","C<br>(mild,<br>rare:moderate)","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","C","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
137,"G_1",1,"G","Rhesus - mild","G<br>(mild,<br>rare:severe)","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","G","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
138,"e_1",1,"e","Rhesus - mild","e","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","e","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
139,"C<sup>x</sup>_1",1,"C<sup>x</sup>","Rhesus - mild","C<sup>x</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","C<sup>x</sup>","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
140,"D<sup>w</sup>_1",1,"D<sup>w</sup>","Rhesus - mild","D<sup>w</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","D<sup>w</sup>","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
141,"c_like_1",1,"c_like","Rhesus - mild","c_like","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","c_like","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
142,"hr<sup>h</sup>_1",1,"hr<sup>h</sup>","Rhesus - mild","hr<sup>h</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","hr<sup>h</sup>","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
143,"Rh29_1",1,"Rh29","Rhesus - mild","Rh29","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Rh29","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
144,"Go<sup>a</sup>_1",1,"Go<sup>a</sup>","Rhesus - mild","Go<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Go<sup>a</sup>","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
145,"Rh33_1",1,"Rh33","Rhesus - mild","Rh33","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Rh33","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
146,"hr<sup>b</sup>_1",1,"hr<sup>b</sup>","Rhesus - mild","hr<sup>b</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","hr<sup>b</sup>","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
147,"Rh35_1",1,"Rh35","Rhesus - mild","Rh35","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Rh35","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
148,"Evans_1",1,"Evans","Rhesus - mild","Evans","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Evans","Rhesus - mild",0.137362637362637,"1, 18, 19","p","https://en.wikipedia.org/wiki/Rh_blood_group_system"
149,"Rd_1",1,"Rd","Scianna - mild","Rd<br>mild,<br>rare:moderate)","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Rd","Scianna - mild",0.892857142857143,"1","p","https://en.wikipedia.org/wiki/Scianna_antigen_system"
150,"SC2_1",1,"SC2","Scianna - mild","SC2","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","SC2","Scianna - mild",0.892857142857143,"1","p","https://en.wikipedia.org/wiki/Scianna_antigen_system"
151,"Vel_1",1,"Vel","Vel - mild","Vel<br>(mild,<br>rare:severe)","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Vel","Vel - mild",1.78571428571429,"1, 5","p","https://en.wikipedia.org/wiki/Vel_blood_group"
152,"Xg<sup>a</sup>_1",1,"Xg<sup>a</sup>","Xg - mild","Xg<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","Xg<sup>a</sup>","Xg - mild",1.78571428571429,"1, 2","p","https://en.wikipedia.org/wiki/Xg_antigen_system"
153,"At<sup>a</sup>_1",1,"At<sup>a</sup>","High_prevalence_antigen - mild","At<sup>a</sup>","Mild - ""published reports of need for bililight therapy or simple transfusion in neonatal life""","At<sup>a</sup>","High_prevalence_antigen - mild",1.78571428571429,"7","p","https://en.wikipedia.org/wiki/Human_red_cell_antigens#Er"
154,"Ch1_1",1,"Ch1","Chido_Rogers - none","Ch1","None - ""no published reports of association with HDFN""","Ch1","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
155,"Ch2_1",1,"Ch2","Chido_Rogers - none","Ch2","None - ""no published reports of association with HDFN""","Ch2","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
156,"Ch3_1",1,"Ch3","Chido_Rogers - none","Ch3","None - ""no published reports of association with HDFN""","Ch3","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
157,"Ch4_1",1,"Ch4","Chido_Rogers - none","Ch4","None - ""no published reports of association with HDFN""","Ch4","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
158,"Ch5_1",1,"Ch5","Chido_Rogers - none","Ch5","None - ""no published reports of association with HDFN""","Ch5","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
159,"Ch6_1",1,"Ch6","Chido_Rogers - none","Ch6","None - ""no published reports of association with HDFN""","Ch6","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
160,"WH_1",1,"WH","Chido_Rogers - none","WH","None - ""no published reports of association with HDFN""","WH","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
161,"Rg1_1",1,"Rg1","Chido_Rogers - none","Rg1","None - ""no published reports of association with HDFN""","Rg1","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
162,"Rg2_1",1,"Rg2","Chido_Rogers - none","Rg2","None - ""no published reports of association with HDFN""","Rg2","Chido_Rogers - none",0.0896057347670251,"1","p","https://en.wikipedia.org/wiki/Complement_component_4"
163,"Cr<sup>a</sup>_1",1,"Cr<sup>a</sup>","Cromer - none","Cr<sup>a</sup>","None - ""no published reports of association with HDFN""","Cr<sup>a</sup>","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
164,"Tc<sup>a</sup>_1",1,"Tc<sup>a</sup>","Cromer - none","Tc<sup>a</sup>","None - ""no published reports of association with HDFN""","Tc<sup>a</sup>","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
165,"Tc<sup>b</sup>_1",1,"Tc<sup>b</sup>","Cromer - none","Tc<sup>b</sup>","None - ""no published reports of association with HDFN""","Tc<sup>b</sup>","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
166,"Tc<sup>c</sup>_1",1,"Tc<sup>c</sup>","Cromer - none","Tc<sup>c</sup>","None - ""no published reports of association with HDFN""","Tc<sup>c</sup>","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
167,"Dr<sup>a</sup>_1",1,"Dr<sup>a</sup>","Cromer - none","Dr<sup>a</sup>","None - ""no published reports of association with HDFN""","Dr<sup>a</sup>","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
168,"Es<sup>a</sup>_1",1,"Es<sup>a</sup>","Cromer - none","Es<sup>a</sup>","None - ""no published reports of association with HDFN""","Es<sup>a</sup>","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
169,"IFC_1",1,"IFC","Cromer - none","IFC","None - ""no published reports of association with HDFN""","IFC","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
170,"Wes<sup>a</sup>_1",1,"Wes<sup>a</sup>","Cromer - none","Wes<sup>a</sup>","None - ""no published reports of association with HDFN""","Wes<sup>a</sup>","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
171,"WES<sup>b</sup>_1",1,"WES<sup>b</sup>","Cromer - none","WES<sup>b</sup>","None - ""no published reports of association with HDFN""","WES<sup>b</sup>","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
172,"UMC_1",1,"UMC","Cromer - none","UMC","None - ""no published reports of association with HDFN""","UMC","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
173,"GUTI_1",1,"GUTI","Cromer - none","GUTI","None - ""no published reports of association with HDFN""","GUTI","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
174,"SERF_1",1,"SERF","Cromer - none","SERF","None - ""no published reports of association with HDFN""","SERF","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
175,"ZENA_1",1,"ZENA","Cromer - none","ZENA","None - ""no published reports of association with HDFN""","ZENA","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
176,"CROV_1",1,"CROV","Cromer - none","CROV","None - ""no published reports of association with HDFN""","CROV","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
177,"CRAM_1",1,"CRAM","Cromer - none","CRAM","None - ""no published reports of association with HDFN""","CRAM","Cromer - none",0.053763440860215,"13, 14","p","https://en.wikipedia.org/wiki/Decay-accelerating_factor"
178,"Wr<sup>b</sup>_1",1,"Wr<sup>b</sup>","Diego - none","Wr<sup>b</sup>","None - ""no published reports of association with HDFN""","Wr<sup>b</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
179,"Wd<sup>a</sup>_1",1,"Wd<sup>a</sup>","Diego - none","Wd<sup>a</sup>","None - ""no published reports of association with HDFN""","Wd<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
180,"Rb<sup>a</sup>_1",1,"Rb<sup>a</sup>","Diego - none","Rb<sup>a</sup>","None - ""no published reports of association with HDFN""","Rb<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
181,"WARR_1",1,"WARR","Diego - none","WARR","None - ""no published reports of association with HDFN""","WARR","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
182,"Wu_1",1,"Wu","Diego - none","Wu","None - ""no published reports of association with HDFN""","Wu","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
183,"Bp<sup>a</sup>_1",1,"Bp<sup>a</sup>","Diego - none","Bp<sup>a</sup>","None - ""no published reports of association with HDFN""","Bp<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
184,"Mo<sup>a</sup>_1",1,"Mo<sup>a</sup>","Diego - none","Mo<sup>a</sup>","None - ""no published reports of association with HDFN""","Mo<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
185,"Hg<sup>a</sup>_1",1,"Hg<sup>a</sup>","Diego - none","Hg<sup>a</sup>","None - ""no published reports of association with HDFN""","Hg<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
186,"Vg<sup>a</sup>_1",1,"Vg<sup>a</sup>","Diego - none","Vg<sup>a</sup>","None - ""no published reports of association with HDFN""","Vg<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
187,"Sw<sup>a</sup>_1",1,"Sw<sup>a</sup>","Diego - none","Sw<sup>a</sup>","None - ""no published reports of association with HDFN""","Sw<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
188,"BOW_1",1,"BOW","Diego - none","BOW","None - ""no published reports of association with HDFN""","BOW","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
189,"NFLD_1",1,"NFLD","Diego - none","NFLD","None - ""no published reports of association with HDFN""","NFLD","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
190,"Jn<sup>a</sup>_1",1,"Jn<sup>a</sup>","Diego - none","Jn<sup>a</sup>","None - ""no published reports of association with HDFN""","Jn<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
191,"KREP_1",1,"KREP","Diego - none","KREP","None - ""no published reports of association with HDFN""","KREP","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
192,"Tr<sup>a</sup>_1",1,"Tr<sup>a</sup>","Diego - none","Tr<sup>a</sup>","None - ""no published reports of association with HDFN""","Tr<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
193,"Fr<sup>a</sup>_1",1,"Fr<sup>a</sup>","Diego - none","Fr<sup>a</sup>","None - ""no published reports of association with HDFN""","Fr<sup>a</sup>","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
194,"SW1_1",1,"SW1","Diego - none","SW1","None - ""no published reports of association with HDFN""","SW1","Diego - none",0.047438330170778,"2,3","p","https://en.wikipedia.org/wiki/Diego_antigen_system"
195,"Do<sup>a</sup>_1",1,"Do<sup>a</sup>","Dombrock - none","Do<sup>a</sup>","None - ""no published reports of association with HDFN""","Do<sup>a</sup>","Dombrock - none",0.134408602150538,"11, 12","p","https://en.wikipedia.org/wiki/ART4"
196,"Do<sup>b</sup>_1",1,"Do<sup>b</sup>","Dombrock - none","Do<sup>b</sup>","None - ""no published reports of association with HDFN""","Do<sup>b</sup>","Dombrock - none",0.134408602150538,"11, 12","p","https://en.wikipedia.org/wiki/ART4"
197,"Gy<sup>a</sup>_1",1,"Gy<sup>a</sup>","Dombrock - none","Gy<sup>a</sup>","None - ""no published reports of association with HDFN""","Gy<sup>a</sup>","Dombrock - none",0.134408602150538,"11, 12","p","https://en.wikipedia.org/wiki/ART4"
198,"Hy_1",1,"Hy","Dombrock - none","Hy","None - ""no published reports of association with HDFN""","Hy","Dombrock - none",0.134408602150538,"11, 12","p","https://en.wikipedia.org/wiki/ART4"
199,"Jo<sup>a</sup>_1",1,"Jo<sup>a</sup>","Dombrock - none","Jo<sup>a</sup>","None - ""no published reports of association with HDFN""","Jo<sup>a</sup>","Dombrock - none",0.134408602150538,"11, 12","p","https://en.wikipedia.org/wiki/ART4"
200,"DOYA_1",1,"DOYA","Dombrock - none","DOYA","None - ""no published reports of association with HDFN""","DOYA","Dombrock - none",0.134408602150538,"11, 12","p","https://en.wikipedia.org/wiki/ART4"
201,"Fy<sup>3</sup>_1",1,"Fy<sup>3</sup>","Duffy - none","Fy<sup>3</sup>","None - ""no published reports of association with HDFN""","Fy<sup>3</sup>","Duffy - none",0.201612903225806,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
202,"Fy<sup>4</sup>_1",1,"Fy<sup>4</sup>","Duffy - none","Fy<sup>4</sup>","None - ""no published reports of association with HDFN""","Fy<sup>4</sup>","Duffy - none",0.201612903225806,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
203,"Fy<sup>5</sup>_1",1,"Fy<sup>5</sup>","Duffy - none","Fy<sup>5</sup>","None - ""no published reports of association with HDFN""","Fy<sup>5</sup>","Duffy - none",0.201612903225806,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
204,"Fy<sup>6</sup>_1",1,"Fy<sup>6</sup>","Duffy - none","Fy<sup>6</sup>","None - ""no published reports of association with HDFN""","Fy<sup>6</sup>","Duffy - none",0.201612903225806,"13, 81, 82, 84","p","https://en.wikipedia.org/wiki/Duffy_antigen_system"
205,"FOR_1",1,"FOR","Forssman - none","FOR","None - ""no published reports of association with HDFN""","FOR","Forssman - none",0.806451612903226,"1","p","https://en.wikipedia.org/wiki/Forssman_antigen"
206,"Ge2_1",1,"Ge2","Gerbich - none","Ge2","None - ""no published reports of association with HDFN""","Ge2","Gerbich - none",0.115207373271889,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C"
207,"Ge4_1",1,"Ge4","Gerbich - none","Ge4","None - ""no published reports of association with HDFN""","Ge4","Gerbich - none",0.115207373271889,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C"
208,"Wb_1",1,"Wb","Gerbich - none","Wb","None - ""no published reports of association with HDFN""","Wb","Gerbich - none",0.115207373271889,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C#Gerbich_antigen"
209,"Ls<sup>a</sup>_1",1,"Ls<sup>a</sup>","Gerbich - none","Ls<sup>a</sup>","None - ""no published reports of association with HDFN""","Ls<sup>a</sup>","Gerbich - none",0.115207373271889,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C#Gerbich_antigen"
210,"An<sup>a</sup>_1",1,"An<sup>a</sup>","Gerbich - none","An<sup>a</sup>","None - ""no published reports of association with HDFN""","An<sup>a</sup>","Gerbich - none",0.115207373271889,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C#Gerbich_antigen"
211,"Dh<sup>a</sup>_1",1,"Dh<sup>a</sup>","Gerbich - none","Dh<sup>a</sup>","None - ""no published reports of association with HDFN""","Dh<sup>a</sup>","Gerbich - none",0.115207373271889,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C#Gerbich_antigen"
212,"GEIS_1",1,"GEIS","Gerbich - none","GEIS","None - ""no published reports of association with HDFN""","GEIS","Gerbich - none",0.115207373271889,"27, 29","p","https://en.wikipedia.org/wiki/Glycophorin_C"
213,"Gill_1",1,"Gill","Gill - none","Gill","None - ""no published reports of association with HDFN""","Gill","Gill - none",0.806451612903226,"11","p","https://en.wikipedia.org/wiki/Aquaporin_3"
214,"I_1",1,"I","I - none","I","None - ""no published reports of association with HDFN""","I","I - none",0.403225806451613,"1","p","https://en.wikipedia.org/wiki/Ii_antigen_system"
215,"i_1",1,"i","I - none","i","None - ""no published reports of association with HDFN""","i","I - none",0.403225806451613,"1","p","https://en.wikipedia.org/wiki/Ii_antigen_system"
216,"In<sup>a</sup>_1",1,"In<sup>a</sup>","Indian - none","In<sup>a</sup>","None - ""no published reports of association with HDFN""","In<sup>a</sup>","Indian - none",0.201612903225806,"1","p","https://en.wikipedia.org/wiki/Indian_blood_group_system"
217,"In<sup>b</sup>_1",1,"In<sup>b</sup>","Indian - none","In<sup>b</sup>","None - ""no published reports of association with HDFN""","In<sup>b</sup>","Indian - none",0.201612903225806,"1","p","https://en.wikipedia.org/wiki/Indian_blood_group_system"
218,"INFI_1",1,"INFI","Indian - none","INFI","None - ""no published reports of association with HDFN""","INFI","Indian - none",0.201612903225806,"1","p","https://en.wikipedia.org/wiki/Indian_blood_group_system"
219,"INJA_1",1,"INJA","Indian - none","INJA","None - ""no published reports of association with HDFN""","INJA","Indian - none",0.201612903225806,"1","p","https://en.wikipedia.org/wiki/Indian_blood_group_system"
220,"JMH_1",1,"JMH","John_Milton - none","JMH","None - ""no published reports of association with HDFN""","JMH","John_Milton - none",0.161290322580645,"13","p","https://en.wikipedia.org/wiki/SEMA7A"
221,"JMHK_1",1,"JMHK","John_Milton - none","JMHK","None - ""no published reports of association with HDFN""","JMHK","John_Milton - none",0.161290322580645,"13","p","https://en.wikipedia.org/wiki/SEMA7A"
222,"JMHL_1",1,"JMHL","John_Milton - none","JMHL","None - ""no published reports of association with HDFN""","JMHL","John_Milton - none",0.161290322580645,"13","p","https://en.wikipedia.org/wiki/SEMA7A"
223,"JMHG_1",1,"JMHG","John_Milton - none","JMHG","None - ""no published reports of association with HDFN""","JMHG","John_Milton - none",0.161290322580645,"13","p","https://en.wikipedia.org/wiki/SEMA7A"
224,"JMHM_1",1,"JMHM","John_Milton - none","JMHM","None - ""no published reports of association with HDFN""","JMHM","John_Milton - none",0.161290322580645,"13","p","https://en.wikipedia.org/wiki/SEMA7A"
225,"K11_1",1,"K11","Kell - none","K11","None - ""no published reports of association with HDFN""","K11","Kell - none",0.0350631136044881,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
226,"K12_1",1,"K12","Kell - none","K12","None - ""no published reports of association with HDFN""","K12","Kell - none",0.0350631136044881,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
227,"K13_1",1,"K13","Kell - none","K13","None - ""no published reports of association with HDFN""","K13","Kell - none",0.0350631136044881,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
228,"K14_1",1,"K14","Kell - none","K14","None - ""no published reports of association with HDFN""","K14","Kell - none",0.0350631136044881,"1, 5, 6","p","https://en.wikipedia.org/wiki/Kell_antigen_system"
